Force produced by a maximally-activated rat soleus muscle in vivo when subjected
to a displacement waveform of maximum amplitude 0.05 mm. Experimental data was
provided by T.G. Sandercock [1]. Please refer to Millard et al. [2] for details.

References:
    1. Krylow, A.M. and Sandercock, T.G., 1997. "Dynamic force responses of
       muscle involving eccentric contraction". Journal of Biomechanics,
       30(1), pp. 27--33. http://dx.doi.org/10.1016/S0021-9290(96)00097-8.
    2. Millard, M., Uchida, T., Seth, A., and Delp, S.L., 2013. "Flexing
       computational muscle: Modeling and simulation of musculotendon
       dynamics". ASME Journal of Biomechanical Engineering, 135(2),
       p. 021013 (11 pages). http://dx.doi.org/10.1115/1.4023390.

endheader
time_s	force_N
0.000000000000000	0.000000000000000
0.029360967184801	0.193873517786561
0.043177892918826	0.449786561264822
0.065630397236615	0.775494071146245
0.091537132987910	0.938347826086957
0.124352331606218	1.023652173913044
0.158894645941278	1.062426877470356
0.215889464594128	1.116711462450593
0.259067357512953	1.108956521739131
0.290155440414508	1.085691699604743
0.329879101899827	1.101201581027668
0.371329879101900	1.139976284584980
0.426597582037997	1.124466403162056
0.483592400690846	1.116711462450593
0.531951640759931	1.178750988142292
0.568221070811745	1.186505928853755
0.601036269430052	1.139976284584980
0.635578583765112	1.132221343873518
0.670120898100173	1.170996047430830
0.699481865284974	1.217525691699605
0.727115716753023	1.202015810276680
0.766839378238342	1.147731225296443
0.799654576856650	1.186505928853755
0.829015544041451	1.240790513833992
0.846286701208981	1.240790513833992
0.863557858376511	1.186505928853755
0.887737478411054	1.116711462450593
0.911917098445596	1.108956521739131
0.937823834196891	1.170996047430830
0.968911917098446	1.233035573122530
1.000000000000000	1.186505928853755
1.029360967184802	1.155486166007905
1.062176165803109	1.194260869565218
1.084628670120899	1.225280632411067
1.112262521588947	1.194260869565218
1.138169257340242	1.147731225296443
1.169257340241797	1.155486166007905
1.202072538860104	1.155486166007905
1.229706390328152	1.139976284584980
1.262521588946460	1.178750988142292
1.295336787564767	1.209770750988142
1.317789291882556	1.178750988142292
1.343696027633852	1.155486166007905
1.373056994818653	1.194260869565218
1.405872193436961	1.233035573122530
1.430051813471503	1.194260869565218
1.469775474956823	1.147731225296443
1.512953367875648	1.132221343873518
1.542314335060449	1.116711462450593
1.571675302245251	1.116711462450593
1.592400690846287	1.178750988142292
1.620034542314335	1.217525691699605
1.645941278065631	1.178750988142292
1.670120898100173	1.124466403162056
1.692573402417962	1.124466403162056
1.725388601036270	1.186505928853755
1.749568221070812	1.186505928853755
1.777202072538860	1.124466403162056
1.810017271157168	1.124466403162056
1.839378238341969	1.178750988142292
1.865284974093264	1.209770750988142
1.911917098445596	1.217525691699605
1.956822107081174	1.209770750988142
1.986183074265976	1.155486166007905
2.000000000000000	1.139976284584980
