DataTable 64x3
Time	0.000000000000000	displacement	outputForce	
0.029361	0.193874	0.0441584	0	
0.0431779	0.449787	0.0344095	0.333366	
0.0656304	0.775494	0.0130271	0.677376	
0.0915371	0.938348	0.00835756	0.914413	
0.124352	1.02365	0.0266556	1.06798	
0.158895	1.06243	0.0331931	1.12096	
0.215889	1.11671	0.0482879	1.14686	
0.259067	1.10896	0.0317214	1.13378	
0.290155	1.08569	-0.00296116	1.1098	
0.329879	1.1012	-0.00332913	1.13065	
0.37133	1.13998	0.0144412	1.15071	
0.426598	1.12447	-0.0172746	1.12558	
0.483592	1.11671	-0.0436542	1.12103	
0.531952	1.17875	-0.00573829	1.15818	
0.568221	1.18651	-0.0015227	1.15041	
0.601036	1.13998	-0.035422	1.11656	
0.635579	1.13222	-0.0489471	1.12005	
0.670121	1.171	-0.0160866	1.15793	
0.699482	1.21753	0.00772694	1.16808	
0.727116	1.20202	-0.00206837	1.14394	
0.766839	1.14773	-0.0300356	1.12148	
0.799655	1.18651	-0.00151786	1.15631	
0.829016	1.24079	0.031557	1.17598	
0.846287	1.24079	0.0271625	1.15569	
0.863558	1.18651	0.0024937	1.12144	
0.887737	1.11671	-0.0383049	1.09192	
0.911917	1.10896	-0.0428268	1.11326	
0.937824	1.171	-0.00714271	1.16121	
0.968912	1.23304	0.024273	1.17509	
1	1.18651	0.00224389	1.13669	
1.02936	1.15549	-0.0075749	1.13105	
1.06218	1.19426	0.0225061	1.16205	
1.08463	1.22528	0.0305096	1.15992	
1.11226	1.19426	0.0116016	1.13311	
1.13817	1.14773	-0.00555252	1.12206	
1.16926	1.15549	-0.00378209	1.13534	
1.20207	1.15549	-0.0106528	1.13342	
1.22971	1.13998	-0.0197126	1.12951	
1.26252	1.17875	0.000392673	1.15284	
1.29534	1.20977	0.0173438	1.15968	
1.31779	1.17875	0.00683938	1.13997	
1.3437	1.15549	-0.00447103	1.13046	
1.37306	1.19426	0.0153337	1.15436	
1.40587	1.23304	0.0361128	1.16399	
1.43005	1.19426	0.0223589	1.13948	
1.46978	1.14773	-0.00544555	1.12115	
1.51295	1.13222	-0.0141512	1.12881	
1.54231	1.11671	-0.0379589	1.11471	
1.57168	1.11671	-0.0307767	1.13567	
1.5924	1.17875	-0.000219772	1.16956	
1.62003	1.21753	0.0190185	1.17027	
1.64594	1.17875	-0.0086239	1.1285	
1.67012	1.12447	-0.0389688	1.10532	
1.69257	1.12447	-0.0348819	1.12741	
1.72539	1.18651	-0.000930616	1.16268	
1.74957	1.18651	-0.00480805	1.14718	
1.7772	1.12447	-0.0375377	1.11365	
1.81002	1.12447	-0.0374001	1.12969	
1.83938	1.17875	-0.00388928	1.16457	
1.86528	1.20977	0.00732634	1.16169	
1.91192	1.21753	0.0106476	1.15007	
1.95682	1.20977	0.017057	1.14904	
1.98618	1.15549	-0.00712596	1.12382	
2	1.13998	-0.0108889	1.12618	
