DataTable 76x3
Time	0.000000000000000	displacement	outputForce	
0.0320346	0.261073	0.0856217	0	
0.0562771	0.688282	0.0419812	0.420576	
0.0787879	0.886065	0.0131088	0.723584	
0.109957	1.00473	0.0363179	0.984652	
0.149784	1.06802	0.0670588	1.11291	
0.184416	1.09967	0.0695495	1.13603	
0.220779	1.13923	0.0991605	1.16564	
0.241558	1.13923	0.0920303	1.14914	
0.274459	1.09176	0.0244821	1.0911	
0.309091	1.07594	-0.0208785	1.08664	
0.350649	1.14714	0.0175627	1.15062	
0.37316	1.16296	0.028761	1.15769	
0.400866	1.13923	0.00740205	1.12988	
0.449351	1.08385	-0.070251	1.0867	
0.473593	1.08385	-0.0892016	1.09537	
0.499567	1.10758	-0.0708058	1.13567	
0.532468	1.21043	-0.0107094	1.18484	
0.551515	1.23416	0.00555964	1.18025	
0.572294	1.20252	-0.0090353	1.14508	
0.601732	1.11549	-0.0722211	1.086	
0.624242	1.09176	-0.0992528	1.08487	
0.648485	1.11549	-0.0807106	1.13067	
0.67619	1.22625	-0.018832	1.18879	
0.698701	1.26581	0.0150826	1.19566	
0.721212	1.23416	0.00442788	1.15626	
0.747186	1.14714	-0.0406374	1.10516	
0.764502	1.13131	-0.0598064	1.09851	
0.781818	1.14714	-0.0471717	1.13133	
0.812987	1.27372	0.0344423	1.20309	
0.832035	1.31327	0.0643931	1.20502	
0.849351	1.2579	0.0482534	1.15851	
0.878788	1.09176	-0.0524171	1.05922	
0.899567	1.06011	-0.0922664	1.05564	
0.920346	1.09967	-0.067303	1.12281	
0.948052	1.24998	0.0173869	1.20583	
0.965368	1.30536	0.0475387	1.20877	
0.980952	1.26581	0.040864	1.1719	
1.00693	1.17878	-0.00681519	1.11082	
1.02251	1.15505	-0.0176266	1.11099	
1.04329	1.18669	0.00520808	1.1502	
1.06926	1.26581	0.0557478	1.19193	
1.08312	1.28163	0.0614661	1.17931	
1.09697	1.24207	0.0499694	1.15083	
1.12641	1.15505	-0.000204347	1.10241	
1.15238	1.14714	-0.0116983	1.11358	
1.18355	1.15505	-0.00964221	1.13204	
1.22165	1.13131	-0.0382097	1.11606	
1.24762	1.15505	-0.0253164	1.14133	
1.28052	1.24207	0.0308928	1.18581	
1.2961	1.2579	0.0344932	1.17107	
1.32554	1.1946	0.00210968	1.12611	
1.34459	1.16296	-0.00867662	1.12184	
1.37229	1.21043	0.0289425	1.16703	
1.40173	1.30536	0.0726178	1.19027	
1.41905	1.27372	0.0632518	1.1588	
1.45368	1.14714	0.0019923	1.10051	
1.48831	1.13923	-0.0128487	1.11459	
1.52814	1.10758	-0.0544958	1.10076	
1.55758	1.08385	-0.0805474	1.09966	
1.58701	1.15505	-0.0171982	1.17654	
1.60433	1.24998	0.0289409	1.21038	
1.61818	1.28954	0.0385451	1.19362	
1.64069	1.21834	-0.000682939	1.1272	
1.6632	1.09176	-0.0660373	1.06692	
1.68052	1.06802	-0.0830293	1.07931	
1.70996	1.13923	-0.0289163	1.16067	
1.73939	1.23416	0.00422159	1.17649	
1.76364	1.17878	-0.0450437	1.10885	
1.79307	1.09176	-0.0902431	1.08599	
1.81558	1.11549	-0.0621187	1.14098	
1.85195	1.2579	0.00778821	1.19154	
1.871	1.26581	0.0145013	1.17398	
1.90563	1.24998	0.0159153	1.15493	
1.94545	1.27372	0.0417586	1.16551	
1.97143	1.22625	0.0108867	1.12421	
2	1.13923	-0.0217778	1.1052	
