Displacement of the free end of a maximally-activated rat soleus muscle relative
to its initial position, scaled to a maximum amplitude of 1.0 mm. Experimental
data was provided by T.G. Sandercock [1]. Please refer to Millard et al. [2] for
details.

References:
    1. Krylow, A.M. and Sandercock, T.G., 1997. "Dynamic force responses of
       muscle involving eccentric contraction". Journal of Biomechanics,
       30(1), pp. 27--33. http://dx.doi.org/10.1016/S0021-9290(96)00097-8.
    2. Millard, M., Uchida, T., Seth, A., and Delp, S.L., 2013. "Flexing
       computational muscle: Modeling and simulation of musculotendon
       dynamics". ASME Journal of Biomechanical Engineering, 135(2),
       p. 021013 (11 pages). http://dx.doi.org/10.1115/1.4023390.

endheader
time_s	displacement_mm
0.000000000000000	0.857777777777778
0.006902502157032	0.911111111111111
0.018981880931838	0.937777777777778
0.031061259706644	0.866666666666667
0.043140638481450	0.688888888888889
0.060396893874029	0.342222222222222
0.074201898188093	0.164444444444444
0.082830025884383	0.120000000000000
0.094909404659189	0.200000000000000
0.110440034512511	0.368888888888889
0.129421915444349	0.582222222222222
0.141501294219155	0.653333333333333
0.151855047454702	0.671111111111111
0.167385677308024	0.653333333333333
0.181190681622088	0.680000000000000
0.203623813632442	0.848888888888889
0.215703192407248	0.964444444444445
0.227782571182054	1.000000000000000
0.241587575496117	0.920000000000000
0.260569456427955	0.600000000000000
0.277825711820535	0.164444444444444
0.298533218291631	-0.155555555555556
0.308886971527179	-0.208888888888889
0.319240724762727	-0.155555555555556
0.339948231233822	0.040000000000000
0.355478861087144	0.226666666666666
0.371009490940466	0.288888888888889
0.388265746333046	0.217777777777778
0.410698878343400	-0.075555555555556
0.427955133735979	-0.368888888888889
0.450388265746333	-0.715555555555556
0.464193270060397	-0.848888888888889
0.474547023295945	-0.893333333333333
0.488352027610009	-0.840000000000000
0.509059534081105	-0.546666666666667
0.522864538395168	-0.271111111111111
0.541846419327006	0.004444444444444
0.553925798101812	0.057777777777778
0.564279551337360	0.013333333333333
0.583261432269198	-0.306666666666667
0.598792062122520	-0.662222222222222
0.616048317515099	-0.937777777777778
0.628127696289905	-1.000000000000000
0.640207075064711	-0.937777777777778
0.659188955996549	-0.573333333333333
0.679896462467645	-0.111111111111111
0.691975841242451	0.093333333333333
0.704055220017256	0.164444444444444
0.717860224331320	0.084444444444444
0.738567730802416	-0.244444444444444
0.757549611734254	-0.555555555555556
0.767903364969802	-0.600000000000000
0.779982743744608	-0.502222222222222
0.795513373597929	-0.146666666666667
0.809318377911993	0.244444444444444
0.824849007765315	0.591111111111111
0.835202761000863	0.644444444444444
0.845556514236411	0.555555555555556
0.864538395168249	0.013333333333333
0.886971527178602	-0.751111111111111
0.893874029335634	-0.857777777777778
0.902502157031924	-0.937777777777778
0.912855910267472	-0.840000000000000
0.924935289042278	-0.546666666666667
0.940465918895600	-0.057777777777778
0.957722174288180	0.395555555555556
0.968075927523728	0.484444444444445
0.981880931837791	0.395555555555556
0.995685936151855	0.128888888888889
1.011216566005177	-0.120000000000000
1.019844693701467	-0.173333333333333
1.031924072476273	-0.128888888888889
1.052631578947369	0.253333333333333
1.069887834339949	0.564444444444445
1.080241587575496	0.617777777777778
1.094046591889560	0.537777777777778
1.113028472821398	0.217777777777778
1.132010353753236	-0.066666666666667
1.145815358067300	-0.128888888888889
1.159620362381364	-0.093333333333333
1.173425366695428	-0.075555555555556
1.188955996548749	-0.120000000000000
1.204486626402071	-0.235555555555556
1.216566005176877	-0.351111111111111
1.226919758412425	-0.395555555555556
1.240724762726489	-0.333333333333333
1.259706643658327	-0.048888888888889
1.276962899050906	0.271111111111111
1.290767903364970	0.351111111111111
1.304572907679034	0.297777777777778
1.320103537532356	0.102222222222222
1.332182916307162	-0.057777777777778
1.340811044003452	-0.093333333333333
1.352890422778257	-0.031111111111111
1.371872303710095	0.280000000000000
1.389128559102675	0.644444444444444
1.404659188955997	0.724444444444445
1.420189818809319	0.617777777777778
1.440897325280415	0.226666666666666
1.458153580672994	-0.031111111111111
1.473684210526316	-0.120000000000000
1.494391716997412	-0.137777777777778
1.513373597929250	-0.288888888888889
1.539257981018120	-0.724444444444444
1.551337359792925	-0.813333333333333
1.568593615185505	-0.680000000000000
1.585849870578085	-0.208888888888889
1.604831751509923	0.297777777777778
1.616911130284729	0.386666666666667
1.628990509059535	0.288888888888889
1.646246764452114	-0.182222222222222
1.668679896462468	-0.760000000000000
1.677308024158758	-0.831111111111111
1.691113028472822	-0.724444444444444
1.708369283865402	-0.324444444444444
1.720448662640207	-0.093333333333333
1.732528041415013	0.048888888888889
1.748058671268335	-0.066666666666667
1.767040552200173	-0.537777777777778
1.784296807592752	-0.848888888888889
1.792924935289042	-0.902222222222222
1.808455565142364	-0.777777777777778
1.827437446074202	-0.315555555555556
1.848144952545298	0.040000000000000
1.865401207937877	0.146666666666667
1.891285591026747	0.102222222222222
1.908541846419327	0.182222222222222
1.924072476272649	0.333333333333333
1.941328731665229	0.422222222222222
1.960310612597066	0.297777777777778
1.982743744607420	-0.093333333333333
2.000000000000000	-0.217777777777778
