DataTable 139x3
Time	0.000000000000000	displacement	outputForce	
1.27288	1.53036	0.420464	1.55966	
1.29188	1.39694	0.702409	1.53339	
1.30397	1.08302	0.60551	1.26802	
1.31088	0.839736	0.462552	1.01627	
1.31952	0.62784	0.222146	0.705186	
1.33161	0.525816	-0.105062	0.481798	
1.3437	0.690624	-0.178841	0.604019	
1.36097	1.14581	0.145086	1.20265	
1.36442	1.40479	0.260763	1.39308	
1.37306	1.64808	0.613347	1.56359	
1.38515	1.74226	1.15488	1.64352	
1.40242	1.56175	1.45253	1.61442	
1.41278	1.28707	1.38405	1.38119	
1.42314	0.839736	1.1478	0.985861	
1.43523	0.463032	0.681966	0.496935	
1.44387	0.384552	0.342627	0.344359	
1.46114	0.486576	-0.116625	0.347407	
1.47668	0.690624	-0.248879	0.511815	
1.4905	0.792648	-0.260891	0.712466	
1.50777	0.635688	-0.442045	0.681447	
1.52159	0.423792	-0.84825	0.424413	
1.53713	0.345312	-1.39137	0.295944	
1.55268	0.455184	-1.62995	0.392117	
1.57168	0.918216	-1.23107	1.10132	
1.57858	1.27922	-0.866178	1.43705	
1.59585	1.54606	0.191058	1.61521	
1.61485	1.41264	0.769814	1.57729	
1.62867	1.02809	0.588721	1.18569	
1.63558	0.643536	0.282372	0.703569	
1.64249	0.298224	-0.125332	0.337922	
1.65803	0.219744	-1.07019	0.105654	
1.67358	0.298224	-1.62707	0.183014	
1.69257	0.714168	-1.39528	0.757443	
1.70294	1.13796	-0.912465	1.40483	
1.71503	1.42049	-0.375131	1.50438	
1.7323	1.34201	0.0956037	1.51205	
1.74611	0.926064	-0.0661568	1.15339	
1.75993	0.447336	-0.702521	0.430364	
1.76857	0.282528	-1.14932	0.234757	
1.78238	0.251136	-1.65383	0.22742	
1.79275	0.3924	-1.80387	0.347633	
1.80656	0.659232	-1.61902	0.802814	
1.81865	1.12226	-1.08489	1.40692	
1.82729	1.38125	-0.638292	1.50486	
1.83938	1.42834	-0.155571	1.51834	
1.85665	1.34201	0.227458	1.51841	
1.87565	1.15366	0.26957	1.35804	
1.88946	1.05163	0.204865	1.1924	
1.90501	1.18505	0.309423	1.2941	
1.91537	1.41264	0.494485	1.45971	
1.92746	1.53821	0.723759	1.53861	
1.94991	1.32631	0.798098	1.40151	
1.96546	0.839736	0.434659	0.855164	
1.97409	0.517968	0.117362	0.51503	
1.98446	0.400248	-0.237859	0.36069	
2	0.525816	-0.435556	0.465638	
