DataTable 139x3
Time	0.000000000000000	displacement	outputForce	
0.0224525	0.204048	1.85606	0.0289392	
0.0362694	0.368856	1.605	0.278736	
0.0587219	0.306072	0.745065	0.252777	
0.0777202	0.415944	0.274567	0.342967	
0.0915371	0.674928	0.334302	0.683169	
0.110535	1.1772	0.74004	1.34573	
0.120898	1.49112	0.989223	1.55363	
0.129534	1.56175	1.16635	1.59233	
0.146805	1.46758	1.33429	1.54161	
0.158895	1.31846	1.32772	1.40455	
0.169257	1.27138	1.30642	1.31367	
0.183074	1.3577	1.37727	1.36596	
0.195164	1.5696	1.53977	1.50466	
0.202073	1.74226	1.66654	1.58802	
0.208981	1.83643	1.80891	1.63602	
0.226252	1.72656	2.00202	1.5989	
0.240069	1.33416	1.87006	1.2917	
0.253886	0.761256	1.48203	0.762566	
0.267703	0.376704	0.839872	0.346632	
0.283247	0.298224	0.105479	0.206418	
0.300518	0.384552	-0.345511	0.306706	
0.317789	0.722016	-0.333259	0.634272	
0.336788	1.13796	0.00665383	1.22777	
0.343696	1.3734	0.174737	1.43335	
0.355786	1.47542	0.458799	1.53283	
0.374784	1.31846	0.570618	1.43095	
0.393782	0.957456	0.326758	1.03051	
0.412781	0.517968	-0.219342	0.52214	
0.430052	0.368856	-0.809734	0.328388	
0.452504	0.345312	-1.48171	0.298243	
0.471503	0.463032	-1.77378	0.397817	
0.493955	0.800496	-1.5659	0.907269	
0.507772	1.20859	-1.14167	1.37452	
0.516408	1.42834	-0.800023	1.45348	
0.531952	1.50682	-0.229532	1.49966	
0.556131	1.33416	0.11201	1.47501	
0.57513	0.792648	-0.279091	0.871624	
0.587219	0.384552	-0.794896	0.395559	
0.606218	0.298224	-1.60869	0.224239	
0.625216	0.400248	-1.99102	0.330194	
0.647668	0.871128	-1.64531	0.996274	
0.658031	1.33416	-1.20026	1.40484	
0.682211	1.5539	-0.130169	1.52914	
0.701209	1.43618	0.321273	1.52866	
0.71848	1.03594	0.155079	1.16257	
0.735751	0.517968	-0.382931	0.556773	
0.749568	0.361008	-0.894621	0.329426	
0.763385	0.47088	-1.18949	0.360944	
0.784111	0.918216	-0.856162	1.02619	
0.792746	1.43618	-0.443801	1.46472	
0.799655	1.68732	-0.0607146	1.56279	
0.813472	1.7658	0.714298	1.64992	
0.83247	1.64023	1.2895	1.62322	
0.84456	1.12226	1.14191	1.27272	
0.851468	0.7848	0.865203	0.813876	
0.860104	0.31392	0.346476	0.340534	
0.882556	0.164808	-1.28434	0.0137176	
0.903282	0.31392	-1.87669	0.197571	
0.917098	0.737712	-1.5048	0.898689	
0.929188	1.31846	-0.837518	1.44631	
0.937824	1.57745	-0.285708	1.5759	
0.953368	1.64023	0.620373	1.6526	
0.965458	1.49897	0.951668	1.59126	
0.979275	1.13011	0.859331	1.30891	
0.991364	0.70632	0.43776	0.697496	
0.996546	0.494424	0.223006	0.476853	
1.00691	0.400248	-0.135805	0.34718	
1.02073	0.525816	-0.350034	0.4278	
1.038	1.02024	-0.0917862	1.00274	
1.05181	1.50682	0.470557	1.54005	
1.0639	1.66378	0.960913	1.61178	
1.07772	1.54606	1.22929	1.60262	
1.09154	1.20859	1.1293	1.3154	
1.10708	0.604296	0.658455	0.688952	
1.12435	0.415944	0.0532989	0.374231	
1.14335	0.572904	-0.254795	0.442881	
1.15371	0.769104	-0.225632	0.673371	
1.17789	0.918216	-0.162085	0.967907	
1.19516	0.7848	-0.315612	0.857745	
1.21762	0.572904	-0.717731	0.593503	
1.23143	0.714168	-0.781015	0.699185	
1.2487	1.11442	-0.475813	1.21427	
1.25907	1.42834	-0.122809	1.48808	
