DataTable 116x3
Time	0.007943319838057	displacement	outputForce	
0.031115	0.26213	0.433055	0	
0.0501296	0.548089	0.273726	0.311159	
0.0812446	0.794332	0.0608647	0.595283	
0.115817	1.0644	0.216958	1.05354	
0.13656	1.19944	0.315772	1.20992	
0.14866	1.21533	0.33483	1.21656	
0.165946	1.1915	0.327096	1.18299	
0.176318	1.19944	0.331631	1.18267	
0.195333	1.2471	0.38565	1.23173	
0.214347	1.33448	0.477088	1.29458	
0.228176	1.35831	0.499743	1.27005	
0.238548	1.29476	0.474272	1.20119	
0.255834	1.11206	0.351571	1.04192	
0.274849	0.873765	0.117579	0.828982	
0.286949	0.826105	-0.00561874	0.773455	
0.299049	0.857879	-0.0801221	0.798214	
0.324978	1.0088	-0.0548126	1.00398	
0.350908	1.20738	0.0893351	1.21326	
0.366465	1.28682	0.142408	1.24404	
0.382022	1.23916	0.130133	1.18729	
0.404494	1.07235	0.0107898	1.04288	
0.430424	0.897595	-0.205608	0.882821	
0.445981	0.849935	-0.328721	0.831627	
0.463267	0.873765	-0.421145	0.847723	
0.490925	0.984972	-0.408067	1.00961	
0.509939	1.15178	-0.264891	1.21313	
0.525497	1.35036	-0.111027	1.33256	
0.539326	1.39008	-0.00996828	1.34992	
0.553155	1.34242	0.0287705	1.29843	
0.579084	1.05646	-0.108335	1.07911	
0.598099	0.834049	-0.323708	0.859806	
0.611927	0.786389	-0.445147	0.80389	
0.627485	0.857879	-0.49979	0.862488	
0.656871	1.12795	-0.313418	1.16957	
0.672429	1.38214	-0.135082	1.3349	
0.686258	1.45363	0.00455857	1.38529	
0.703544	1.35831	0.0821621	1.33588	
0.727744	1.10412	-0.025717	1.12491	
0.746759	0.897595	-0.199375	0.933901	
0.757131	0.849935	-0.275659	0.887676	
0.770959	0.929368	-0.295612	0.952582	
0.791703	1.16767	-0.124725	1.21468	
0.808989	1.4854	0.117621	1.40366	
0.817632	1.55689	0.22966	1.44326	
0.829732	1.46951	0.31767	1.41187	
0.853933	1.11206	0.183534	1.1411	
0.876404	0.691069	-0.220394	0.72335	
0.886776	0.627522	-0.373547	0.643041	
0.900605	0.706955	-0.465054	0.703336	
0.924806	1.04057	-0.275214	1.10481	
0.936906	1.38214	-0.0862716	1.33914	
0.950735	1.51717	0.123186	1.44471	
0.964564	1.44568	0.235454	1.41603	
0.987035	1.15972	0.153362	1.19185	
1.00432	0.921425	-0.0147044	0.973518	
1.01642	0.865822	-0.0801371	0.943766	
1.03025	0.929368	-0.0722641	1.0289	
1.04927	1.18355	0.0895156	1.25365	
1.06309	1.41391	0.233266	1.36619	
1.07347	1.47746	0.297791	1.3644	
1.08557	1.40597	0.303218	1.28679	
1.10458	1.10412	0.187553	1.09578	
1.1236	0.905538	0.0189002	0.929097	
1.1357	0.865822	-0.0483012	0.912517	
1.15298	0.984972	-0.0575721	1.0008	
1.17891	1.0644	-0.0415565	1.09246	
1.20138	1.0088	-0.103464	1.0522	
1.21867	0.945255	-0.182974	0.995405	
1.24633	1.04852	-0.135217	1.11673	
1.27053	1.38214	0.0841534	1.31877	
1.2809	1.45363	0.15607	1.34267	
1.29818	1.36625	0.168894	1.26114	
1.31893	1.08823	0.0599445	1.0886	
1.33103	0.977028	-0.0234521	0.995867	
1.3414	0.945255	-0.0465606	1.00967	
1.35696	1.03263	0.00767128	1.13114	
1.37252	1.2471	0.147195	1.2936	
1.38289	1.4854	0.265904	1.38507	
1.39153	1.541	0.337208	1.39674	
1.4019	1.46951	0.363115	1.33899	
1.42437	1.17561	0.276732	1.15775	
1.44857	0.873765	0.0461813	0.921231	
1.45549	0.841992	-0.00108439	0.898619	
1.47623	0.929368	-0.061978	0.9484	
1.49697	0.984972	-0.0731485	1.02897	
1.51945	0.921425	-0.192976	0.957629	
1.535	0.834049	-0.331806	0.857253	
1.5471	0.826105	-0.398562	0.859261	
1.56958	0.961142	-0.330413	1.06125	
1.59032	1.39008	-0.0340009	1.36318	
1.60242	1.50129	0.12699	1.43221	
1.61971	1.37419	0.190785	1.34774	
1.64045	1.04057	0.0003129	1.04267	
1.65774	0.730785	-0.2636	0.774668	
1.66638	0.667239	-0.361446	0.727923	
1.67848	0.770502	-0.416257	0.787655	
1.70614	1.09618	-0.188515	1.17913	
1.71824	1.36625	-0.0651624	1.30856	
1.72861	1.42185	0.00982463	1.33537	
1.74244	1.3027	0.00808306	1.24686	
1.76318	0.953198	-0.219185	0.945695	
1.77528	0.778445	-0.358327	0.822774	
1.78392	0.730785	-0.422438	0.809438	
1.80121	0.841992	-0.436831	0.924784	
1.82368	1.08029	-0.205006	1.24848	
1.8427	1.44568	-0.0139926	1.36148	
1.85134	1.44568	0.0361743	1.34851	
1.86344	1.36625	0.0716087	1.30427	
1.88245	1.25504	0.0575857	1.20826	
1.89974	1.22327	0.0619035	1.18301	
1.92221	1.35036	0.158003	1.25484	
1.93604	1.4298	0.205853	1.26713	
1.9516	1.39802	0.194129	1.20227	
1.97061	1.12001	0.0620778	1.02916	
1.98963	0.897595	-0.0909006	0.907984	
2	0.873765	-0.108889	0.9544	
