DataTable 144x3
Time	0.000000000000000	displacement	outputForce	
0.0241796	0.189108	0.920061	0	
0.0362694	0.393976	0.802502	0.259787	
0.0500864	0.464892	0.548364	0.383923	
0.0673575	0.512169	0.237673	0.434911	
0.0794473	0.638241	0.127863	0.542397	
0.0967185	0.882506	0.218399	0.892886	
0.117444	1.15041	0.453657	1.27068	
0.131261	1.33952	0.597161	1.39013	
0.136442	1.3474	0.630909	1.39219	
0.146805	1.32376	0.667147	1.35976	
0.157168	1.2686	0.666462	1.29526	
0.170984	1.22133	0.65413	1.23439	
0.184801	1.27648	0.697576	1.26839	
0.2038	1.47347	0.850689	1.38295	
0.219344	1.56014	0.985738	1.43836	
0.231434	1.46559	0.991244	1.35155	
0.243523	1.23708	0.898613	1.17231	
0.255613	0.961301	0.707571	0.917317	
0.271157	0.606723	0.329202	0.585331	
0.284974	0.551566	0.021707	0.470632	
0.300518	0.622482	-0.172756	0.526325	
0.321244	0.898265	-0.139923	0.833055	
0.340242	1.12677	0.0435793	1.1773	
0.350604	1.32376	0.175096	1.33579	
0.362694	1.37104	0.273376	1.37226	
0.376511	1.30012	0.281565	1.28655	
0.395509	1.05586	0.143419	1.06914	
0.411054	0.81159	-0.081324	0.823823	
0.42487	0.66188	-0.315666	0.65205	
0.445596	0.614602	-0.652046	0.545273	
0.466321	0.669759	-0.862718	0.594144	
0.48532	0.850988	-0.862784	0.812104	
0.497409	0.953422	-0.738826	1.07484	
0.511226	1.20557	-0.504627	1.33793	
0.518135	1.37892	-0.364855	1.43078	
0.530225	1.45771	-0.14148	1.4701	
0.549223	1.37892	0.0495969	1.43086	
0.569948	1.12677	-0.0541728	1.17136	
0.582038	0.81947	-0.279556	0.85348	
0.594128	0.614602	-0.558858	0.595344	
0.606218	0.527928	-0.804344	0.490793	
0.623489	0.614602	-0.989706	0.55089	
0.639033	0.843108	-0.950512	0.802907	
0.658031	1.21345	-0.60013	1.2897	
0.66494	1.3868	-0.440081	1.42523	
0.678756	1.52075	-0.134449	1.48349	
0.701209	1.41043	0.160637	1.46865	
0.71848	1.19769	0.0775394	1.21953	
0.73057	0.914024	-0.0985719	0.952929	
0.740933	0.685518	-0.289662	0.74361	
0.751295	0.606723	-0.474987	0.616125	
0.765112	0.669759	-0.599315	0.647572	
0.784111	0.969181	-0.428081	1.04473	
0.792746	1.30012	-0.2219	1.347	
0.799655	1.52863	-0.0303573	1.48611	
0.810017	1.66258	0.263871	1.52609	
0.827288	1.56802	0.617868	1.54777	
0.841105	1.35528	0.612319	1.3708	
0.853195	1.0007	0.387468	0.992079	
0.861831	0.630361	0.112674	0.643466	
0.868739	0.464892	-0.14828	0.427892	
0.884283	0.378217	-0.68907	0.307476	
0.899827	0.48853	-0.924718	0.409377	
0.918826	0.850988	-0.71138	0.929604	
0.929188	1.24496	-0.418759	1.35634	
0.936097	1.48135	-0.198714	1.48408	
0.943005	1.59166	0.0227349	1.50976	
0.960276	1.51287	0.431916	1.53739	
0.97582	1.30012	0.462388	1.38343	
0.993092	0.906145	0.182677	0.951908	
1	0.724916	0.0448778	0.783352	
1.01036	0.638241	-0.110977	0.681522	
1.02245	0.740675	-0.176273	0.746502	
1.03972	1.03222	-0.0160435	1.10104	
1.05009	1.3474	0.197118	1.38605	
1.05527	1.50499	0.310916	1.48133	
1.06563	1.58378	0.508336	1.52604	
1.08117	1.46559	0.617537	1.45118	
1.09672	1.16617	0.503229	1.19273	
1.11054	0.835229	0.264418	0.872095	
1.11744	0.693398	0.13805	0.742392	
1.12953	0.654	-0.0407746	0.650816	
1.14162	0.732795	-0.123981	0.70463	
1.15371	0.890386	-0.112816	0.862525	
1.17617	0.97706	-0.0782272	1.03625	
1.19516	0.937663	-0.157806	0.993106	
1.21071	0.803711	-0.298106	0.87705	
1.22107	0.787952	-0.37944	0.839706	
1.23661	0.890386	-0.366165	0.97003	
1.25216	1.11101	-0.185023	1.24429	
1.26079	1.39467	-0.0272282	1.40424	
1.27288	1.51287	0.210232	1.49485	
1.29016	1.41043	0.350759	1.43618	
1.3057	1.15829	0.287743	1.236	
1.31952	0.921904	0.111073	0.975463	
1.33333	0.748554	-0.0670929	0.811179	
1.3506	0.874627	-0.0518405	0.969504	
1.36269	1.14253	0.100502	1.23195	
1.37478	1.50499	0.346534	1.46198	
1.38515	1.63106	0.577439	1.54027	
1.40069	1.48923	0.725392	1.48882	
1.41796	1.22133	0.645352	1.25363	
1.42832	0.914024	0.481173	0.993104	
1.43869	0.693398	0.270279	0.751177	
1.45078	0.614602	0.0593323	0.621419	
1.46632	0.693398	-0.0933118	0.648076	
1.47841	0.81159	-0.125802	0.765827	
1.49741	0.890386	-0.148052	0.905518	
1.51295	0.780072	-0.283024	0.831768	
1.52677	0.622482	-0.519735	0.650715	
1.53713	0.583084	-0.695684	0.567761	
1.55095	0.638241	-0.812541	0.623181	
1.57168	0.953422	-0.615534	1.05505	
1.58204	1.36316	-0.328772	1.40847	
1.59758	1.52075	0.141863	1.516	
1.61658	1.40255	0.386697	1.48887	
1.62867	1.15829	0.29436	1.23841	
1.64076	0.764313	-0.00889751	0.797286	
1.65112	0.49641	-0.335449	0.497363	
1.66321	0.417614	-0.660566	0.390143	
1.67876	0.551566	-0.832559	0.493252	
1.69775	0.882506	-0.584464	1.02838	
1.70639	1.22133	-0.370908	1.34099	
1.7133	1.39467	-0.220462	1.44769	
1.72021	1.44983	-0.0972891	1.47005	
1.73921	1.27648	0.0433762	1.40074	
1.75648	0.874627	-0.259567	0.923786	
1.76857	0.559446	-0.574662	0.594455	
1.77893	0.480651	-0.778759	0.505098	
1.7962	0.638241	-0.900826	0.617333	
1.81693	0.97706	-0.587246	1.16809	
1.82556	1.32376	-0.361822	1.41738	
1.83765	1.48135	-0.106365	1.48098	
1.85665	1.3868	0.113729	1.45223	
1.87737	1.22133	0.129917	1.29778	
1.89119	1.15041	0.102191	1.19992	
1.90674	1.25284	0.167509	1.25137	
1.92055	1.3868	0.299807	1.3573	
1.93092	1.50499	0.386208	1.3873	
1.94819	1.3474	0.407934	1.30008	
1.96546	1.01646	0.217329	1.01269	
1.97927	0.732795	-0.0359145	0.742281	
1.98964	0.622482	-0.181888	0.666312	
2	0.685518	-0.217778	0.755133	
